track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,deezer_playlist_count,deezer_playlist_reach,shazam_counts,explicit_track
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,USUM71813195,901,50.9,1269760706.0,137601.0,32384233.0,76.0,824308720.0,4676578.0,1213771.0,33512447.0,573562180.0,1951219741.0,88.0,66461.0,55.0,606748.0,9755956.0,0
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,DJ Boneng,2023-11-15,GXBAV2345718,902,50.8,716453.0,22.0,36989.0,1.0,12045.0,174.0,1800000.0,2635212.0,100001777.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
Thought You Should Know,Thought You Should Know,Morgan Wallen,2022-05-06,USUG12202977,906,50.7,340227841.0,40523.0,6267614.0,73.0,137384524.0,667467.0,16626.0,4371872.0,28018314.0,196339404.0,18.0,263301.0,1.0,71.0,857184.0,1
CAIRO,CAIRO,KAROL G,2022-11-13,USUM72220925,904,50.7,443093379.0,35995.0,21160001.0,72.0,273852759.0,1690512.0,625126.0,42735677.0,600184949.0,11558006.0,58.0,52189.0,26.0,2263487.0,1174788.0,1
Cupido,Cupido,TINI,2023-02-14,USHR12245118,905,50.7,358240136.0,35751.0,23674275.0,70.0,216226939.0,844073.0,827378.0,189261300.0,2253379250.0,20052884.0,42.0,33335.0,33.0,444294.0,556867.0,0
Raja Ji Ke Dilwa,Raja Ji Ke Dilwa,Pawan Singh,2023-12-19,INM1Q2326022,909,50.6,4283.0,1.0,3.0,67.0,224819919.0,1249285.0,182364.5,27141268.0,265551910.0,29757537.0,29.0,5993.0,15.0,230295.0,903827.0,0
Winning Speech,Winning Speech,Karan Aujla,2024-05-16,AUBEC2438671,910,50.6,17917738.0,938.0,5754144.0,73.0,28606016.0,488260.0,182364.5,27141268.0,265551910.0,19904542.0,22.0,37.0,15.0,230295.0,44138.0,0
Home,Home - Single,Good Neighbours,2024-01-17,GBUM72400322,911,50.6,205068203.0,19044.0,62137392.0,67.0,8916657.0,104172.0,182364.5,1489700.0,24837700.0,2476271.0,67.0,22019.0,36.0,876086.0,606973.0,0
Sobrio,Sobrio,Maluma,2021-07-08,USSD12100322,908,50.6,600199930.0,66655.0,24281295.0,64.0,743954914.0,2817472.0,189200.0,19480120.0,254681143.0,484483790.0,95.0,45992.0,26.0,1933432.0,1823474.0,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,USUM72308540,913,50.5,247682011.0,67166.0,13150883.0,72.0,81060467.0,925753.0,13500.0,6210382.0,38882669.0,703035.0,51.0,3710.0,9.0,44406.0,1390039.0,0
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,2018-05-25,USRC11800930,916,50.5,1244981489.0,295646.0,48300175.0,78.0,847656575.0,6337444.0,106923.0,60624218.0,650317525.0,165012134.0,110.0,24.0,60.0,282248.0,6227926.0,1
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,2018-12-07,USAT21812667,912,50.5,769061748.0,136145.0,21910460.0,73.0,233288549.0,2397744.0,202814.0,33604598.0,250645860.0,39277808.0,49.0,91002.0,17.0,25856.0,6255853.0,1
End of Beginning,DECIDE,Djo,2022-09-16,GBKPL2205058,918,50.5,710784872.0,64517.0,191969474.0,90.0,44322144.0,594352.0,129300.0,118218973.0,1027806256.0,58700775.0,149.0,94468.0,133.0,18315130.0,3343993.0,0
K-POP,K-POP (Chopped & Screwed),Travis Scott,2023-07-18,USSM12305652,917,50.5,285481590.0,62715.0,24530922.0,68.0,40688228.0,817018.0,4427.0,3170160.0,129035232.0,331318025.0,46.0,15660.0,39.0,587945.0,808863.0,1
favorite,favorite - EP,Isabel LaRosa,2024-03-29,USRC12400507,919,50.5,123802404.0,7364.0,40769771.0,82.0,21277734.0,440764.0,182364.5,2357131.0,20879200.0,126759586.0,43.0,1815.0,45.0,394030.0,1040640.0,0
You & Me,JENNIE Special Single [You & Me],JENNIE,2023-10-06,KRA402300041,914,50.5,183134509.0,12210.0,12194109.0,67.0,164326447.0,3483743.0,319200.0,56468580.0,518880479.0,1663397140.0,15.0,6316.0,12.0,265865.0,345892.0,0
Tattoo,Tattoo,Rauw Alejandro,2020-02-13,QZHN21900087,922,50.4,341742937.0,53836.0,9757013.0,58.0,1281379386.0,7138308.0,2132748.0,73202309.0,650666266.0,171345507.0,45.0,11458.0,15.0,133918.0,713534.0,0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,2010-01-01,USSM11001353,921,50.4,829352129.0,159324.0,36048887.0,61.0,4062829308.0,23606907.0,2250587.0,417038157.0,5938511405.0,269751922.0,109.0,22773.0,96.0,1215762.0,903827.0,0
no tears left to cry,No Tears Left To Cry,Ariana Grande,2018-04-20,USUM71805289,923,50.2,1331371819.0,100503.0,36840744.0,71.0,1426855223.0,11706422.0,698131.0,30791124.0,219920452.0,1865455236.0,143.0,180151.0,68.0,735006.0,6415036.0,0
I Fck Up,I Fck Up - Single,Prince Ayaya,2023-10-28,QZTBB2395775,924,50.1,247133830.0,44.0,223.0,67.0,92839.0,1676.0,1900000.0,35297892.0,454838946.0,100962228.0,2.0,5993.0,15.0,230295.0,238732.0,1
Upside Down,Upside Down,JVKE,2020-08-18,QM24S2008283,925,50.1,121391098.0,28044.0,6194695.0,54.0,19099476.0,465493.0,10318700.0,164374946.0,1710758827.0,517.0,24.0,1790.0,5.0,12865.0,1184072.0,0
Crawling,Papercuts,Linkin Park,2024-04-12,USWB11201319,927,50.1,570290910.0,174.0,525584.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,0
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,2024-05-17,QZMWW2484259,929,50.0,33245898.0,2343.0,69471936.0,78.0,15755338.0,203277.0,182364.5,27141268.0,265551910.0,33968779.0,8.0,48.0,3.0,821777.0,171732.0,1
